0 (number)	0 (число)
Balkans	Балканский полуостров
Ball	Игры с мячом
Ballet	Балет
Ballet	Категория:Балет
Ballistic missile	Баллистическая ракета
Ballpoint pen	Шариковая ручка
Baltic Sea	Балтийское море
Baltimore	Балтимор
Bamako	Бамако
Bamboo	Бамбуковые
Banana	Банан
Banana republic	Банановая республика
Bangalore	Бангалор
Bangkok	Бангкок
Bangladesh	Бангладеш
Bangladesh	Категория:Бангладеш
Bangui	Банги
Banjul	Банжул
Bank	Банк
Banknote	Банкнота
Banks	Категория:Банки
Baptism	Крещение
Baptist	Баптизм
Bar (unit)	Бар (единица измерения)
Barbados	Барбадос
Barbados	Категория:Барбадос
Barbarian	Варвары
Barbra Streisand	Стрейзанд, Барбра
Barcelona	Барселона
Barcelona	Категория:Барселона
Barents Sea	Баренцево море
Bari	Бари
Barium	Барий
Barley	Ячмень
Barn Owl	Обыкновенная сипуха
Barn Swallow	Деревенская ласточка
Barometer	Барометр
Baron	Барон
Baroque	Барокко
Barranquilla	Барранкилья
Barrel (unit)	Баррель (американский нефтяной)
Baryon	Барион
Basalt	Базальт
Base (chemistry)	Химическое основание
Baseball	Бейсбол
Baseball	Категория:Бейсбол
Basel	Базель
Bash	Bash
Basidiomycota	Базидиомицеты
Basil	Базилик душистый
Basil of Caesarea	Василий Великий
Basilica	Базилика
Basilicata	Базиликата
Basiliscus	Василиск (византийский император)
Basilisk	Василиск
Basketball	Баскетбол
Basketball	Категория:Баскетбол
Basra	Басра
Bass guitar	Бас-гитара
Basse-Normandie	Нижняя Нормандия
Basseterre	Бастер
Bassoon	Фагот
Bast (mythology)	Баст
Bastille	Бастилия
Bat	Рукокрылые
Bath	Бат
Batman	Бэтмен
Baton Rouge	Батон-Руж (Луизиана)
Bats	Категория:Рукокрылые
Battalion	Батальон
Battery (electricity)	Батарея (электротехника)
Battle of Austerlitz	Битва под Аустерлицем
Battle of Britain	Битва за Британию
Battle of Hastings	Битва при Гастингсе
Battle of Lepanto (1571)	Битва при Лепанто (1571)
Battle of Marathon	Битва при Марафоне
Battle of Midway	Битва за Мидуэй
Battle of Thermopylae	Фермопильское сражение
Battle of Trafalgar	Трафальгарское сражение
Battle of Verdun	Битва при Вердене
Battle of Waterloo	Битва при Ватерлоо
Battle of the Bulge	Арденнская операция
Battle of the Somme	Битва на Сомме
Battleship	Линейный корабль
Bauhaus	Баухауз
Bauxite	Боксит
Bavaria	Бавария
Bavaria	Категория:Бавария
Bay Laurel	Лавр благородный
Bay of Bengal	Бенгальский залив
Bay of Biscay	Бискайский залив
Bayer	Bayer AG
Bayonet	Штык
Bayonne	Байонна
Beach	Пляж (морской)
Beagle	Бигль
Beak	Клюв
Bear	Медвежьи
Beaufort Sea	Море Бофорта
Beaufort scale	Шкала Бофорта
Beaver	Бобровые
Bebop	Бибоп
Becquerel	Беккерель (единица измерения)
Bed	Кровать
Bede	Беда Достопочтенный
Bedouin	Бедуины
Bee	Пчела
Beech	Бук
Beekeeping	Категория:Пчеловодство
Beer	Пиво
Beer	Категория:Пиво
Beetle	Жесткокрылые
Behaviorism	Бихевиоризм
Beijing	Пекин
Beirut	Бейрут
Belarus	Белоруссия
Belarus	Категория:Белоруссия
Belfast	Белфаст
Belgium	Бельгия
Belgium	Категория:Бельгия
Belgrade	Белград
Belisarius	Велизарий
Belize	Белиз
Belize	Категория:Белиз
Bell (instrument)	Колокол
Bellerophon	Беллерофонт
Belly dance	Танец живота
Belo Horizonte	Белу-Оризонти
Beluga	Белуха (млекопитающее)
Benelux	Бенилюкс
Bengal	Бенгалия
Benghazi	Бенгази
Benin	Бенин
Benin	Категория:Бенин
Benito Mussolini	Муссолини, Бенито
Benjamin Britten	Бриттен, Эдвард Бенджамен
Benjamin Disraeli	Дизраэли, Бенджамин
Benjamin Franklin	Франклин, Бенджамин
Benjamin Harrison	Гаррисон, Бенджамин
Benny Goodman	Гудмен, Бенни
Beowulf	Беовульф
Bergen	Берген
Bering Sea	Берингово море
Bering Strait	Берингов пролив
Berkelium	Берклий
Berkshire	Беркшир
Berlin	Берлин
Berlin	Категория:Берлин
Bermuda	Бермуды
Bermuda	Категория:Бермудские острова
Bermuda Triangle	Бермудский треугольник
Bernardo Bertolucci	Бертолуччи, Бернардо
Berne	Берн
Bernhard Riemann	Риман, Бернхард
Berry	Ягода
Bertolt Brecht	Брехт, Бертольт
Bertrand Russell	Рассел, Бертран Артур Уильям
Beryl	Берилл
Beryllium	Бериллий
Beta (letter)	Бета (буква)
Beta decay	Бета-распад
